Overfitting_Distance,Train_Accuracy,Validation_Accuracy,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
0.012205589,0.343873592,0.356079181,9,auto,4,30,1000
0.012212684,0.342379077,0.354591762,9,auto,3,30,1000
0.012334704,0.341305798,0.353640502,9,auto,2,30,1000
0.012500265,0.341404725,0.353904991,9,auto,1,30,1000
0.01271241,0.345861567,0.358573977,9,auto,5,30,1000
0.01429785,0.341990967,0.356288817,9,auto,5,25,1000
0.014802023,0.336184661,0.350986684,9,auto,2,25,1000
0.015028531,0.329210522,0.344239054,10,auto,5,30,1000
0.015072918,0.339943464,0.355016382,9,auto,4,25,1000
0.0154046,0.335470577,0.350875177,9,auto,1,25,1000
0.015781096,0.337309694,0.35309079,9,auto,3,25,1000
0.016309284,0.335531445,0.35184073,9,auto,4,20,1000
0.01632282,0.327936115,0.344258934,10,auto,4,30,1000
0.016726712,0.323949329,0.340676041,10,auto,2,30,1000
0.017083201,0.332487171,0.349570372,9,auto,3,20,1000
0.017141765,0.337371781,0.354513546,9,auto,5,20,1000
0.017362662,0.323359799,0.340722461,10,auto,1,30,1000
0.017566438,0.325061014,0.342627452,10,auto,3,30,1000
0.017947275,0.330342254,0.34828953,9,auto,1,20,1000
0.01810871,0.331062226,0.349170936,9,auto,2,20,1000
0.018743673,0.324975767,0.34371944,10,auto,5,25,1000
0.019520013,0.319732663,0.339252676,10,auto,3,25,1000
0.019833753,0.322625482,0.342459236,10,auto,4,25,1000
0.020064514,0.318182316,0.33824683,10,auto,2,25,1000
0.020327239,0.312882492,0.333209731,11,auto,4,30,1000
0.020412392,0.315270185,0.335682577,11,auto,5,30,1000
0.020593554,0.317382572,0.337976126,10,auto,1,25,1000
0.020732019,0.31086245,0.331594469,11,auto,3,30,1000
0.020819087,0.309477988,0.330297075,11,auto,2,30,1000
0.021450592,0.316554625,0.338005217,10,auto,4,20,1000
0.021627499,0.308679667,0.330307166,11,auto,1,30,1000
0.021935416,0.318928907,0.340864323,10,auto,5,20,1000
0.022361192,0.31378048,0.336141672,10,auto,3,20,1000
0.023695706,0.312134755,0.335830461,10,auto,2,20,1000
0.023953394,0.309681225,0.333634619,11,auto,5,25,1000
0.02409636,0.302975769,0.327072129,12,auto,5,30,1000
0.024632681,0.306995651,0.331628332,11,auto,4,25,1000
0.024651421,0.311099997,0.335751418,10,auto,1,20,1000
0.024683511,0.303924194,0.328607705,11,auto,3,25,1000
0.024907926,0.301923338,0.326831264,11,auto,2,25,1000
0.025382434,0.300349943,0.325732378,12,auto,4,30,1000
0.025534231,0.301334492,0.326868723,11,auto,1,25,1000
0.025570218,0.296366603,0.321936821,12,auto,1,30,1000
0.025729989,0.297275967,0.323005956,12,auto,2,30,1000
0.026282261,0.298207797,0.324490057,12,auto,3,30,1000
0.026966029,0.303027128,0.329993157,11,auto,5,20,1000
0.02826787,0.299826672,0.328094542,11,auto,4,20,1000
0.02832902,0.297086735,0.325415755,12,auto,5,25,1000
0.028611026,0.29375017,0.322361196,12,auto,4,25,1000
0.028689273,0.291181963,0.319871237,12,auto,3,25,1000
0.029302623,0.296728256,0.32603088,11,auto,3,20,1000
0.03034651,0.288472058,0.318818568,12,auto,1,25,1000
0.030431336,0.288850322,0.319281658,12,auto,2,25,1000
0.030532928,0.294006504,0.324539432,11,auto,2,20,1000
0.030612165,0.293035671,0.323647837,11,auto,1,20,1000
0.03277347,0.28918629,0.32195976,12,auto,5,20,1000
0.033601039,0.286762529,0.320363568,12,auto,4,20,1000
0.034339366,0.282057999,0.316397365,12,auto,3,20,1000
0.03591595,0.279473147,0.315389096,12,auto,2,20,1000
0.036491791,0.278211015,0.314702806,12,auto,1,20,1000